name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Cheikhou_Kouyat�,19,0,0,5,13,0,0,360,4,21767,1,90,1,0,17,0,0,0,8,0,36,0,3,0,2,0,1,699,0
Christian_Benteke,21,0,0,1,16,0,0,358,0,21501,0,90,0,0,10,0,0,0,1,0,36,0,3,0,0,0,5,18960,0
Christian_Eriksen,50,0,0,1,39,0,0,360,0,21702,3,90,0,0,20,0,0,0,3,0,36,0,1,1,2,0,1,39238,0
Christian_Fuchs,50,0,0,3,35,0,0,356,0,21456,0,90,0,1,18,0,0,0,9,0,36,0,0,5,1,0,3,7108,0
Christian_Kabasele,28,0,0,11,23,0,0,356,1,21722,0,71,0,0,8,0,0,0,1,0,36,0,0,1,0,0,3,15,0
Chris_Brunt,32,1,0,3,21,2,0,353,0,21746,3,90,0,1,3,0,0,0,8,0,36,0,1,1,0,2,2,982,0
Chris_Long,0,0,0,0,0,0,0,353,0,21359,0,0,0,0,19,0,0,0,0,0,36,0,0,0,0,2,2,30,0
Chris_Smalling,41,0,0,3,36,0,0,351,0,21532,1,90,0,0,1,0,0,0,2,0,36,0,0,1,0,0,2,112,0
Chuba_Akpom,0,0,0,0,0,0,0,351,0,21804,0,0,0,0,11,0,0,0,0,0,36,0,0,0,0,0,2,2,0
Chuba_Akpom,0,0,0,0,0,0,0,257,0,21803,0,0,0,0,13,0,0,0,0,0,36,0,0,0,0,2,0,2,0
Chung-yong_Lee,11,0,0,0,10,0,0,358,0,21405,0,34,0,0,10,0,0,0,2,0,36,0,0,0,0,0,5,49,0
Claudio_Bravo,0,0,0,0,0,0,0,358,0,21853,0,0,0,0,5,0,0,0,0,0,36,0,0,0,0,0,5,104,0
